PAC	Operation_Code	Count_of_Operations	Sum_of_Hours	percent_hours
88D196	31	17	8.50	0.00
88D219	31	17	8.50	0.00
88R451	31	17	8.50	0.00
99R002	83	2	8.50	0.00
07001	21	14	8.60	0.00
03R266	83	1	9.00	0.00
03R831	13	1	9.00	0.00
04R816	92	4	9.00	0.00
04R859	92	2	9.00	0.00
09803	53	4	9.00	0.00
18029C	83	2	9.00	0.00
21R839	31	2	9.00	0.00
29F800	92	2	9.00	0.00
29R801	92	2	9.00	0.00
45R824	14	6	9.00	0.00
46832M	92	3	9.00	0.00
63R800	17	3	9.00	0.00
71003C	83	2	9.00	0.00
81R800	12	3	9.00	0.00
86R801	41	1	9.00	0.00
88D167	31	18	9.00	0.00
88D168	31	18	9.00	0.00
88D174	31	18	9.00	0.00
88D179	31	18	9.00	0.00
88D180	31	18	9.00	0.00
88D236	31	18	9.00	0.00
88D237	31	18	9.00	0.00
88D247	31	18	9.00	0.00
88D248	31	18	9.00	0.00
88D259	31	18	9.00	0.00
99R005	83	1	9.00	0.00
99R875	95	1	9.00	0.00
04803	41	2	9.20	0.00
52832C	52	13	9.40	0.00
03842H	95	4	9.50	0.00
04019B	92	4	9.50	0.00
21R831	83	3	9.50	0.00
29R829	33	6	9.50	0.00
82Z800	14	2	9.50	0.00
88D161	31	19	9.50	0.00
88D166	31	19	9.50	0.00
88D187	31	19	9.50	0.00
88D222	31	19	9.50	0.00
88D235	31	19	9.50	0.00
88D244	31	19	9.50	0.00
88D245	31	19	9.50	0.00
88D249	31	19	9.50	0.00
88D257	31	19	9.50	0.00
88D263	31	19	9.50	0.00
88D266	31	19	9.50	0.00
88D269	31	19	9.50	0.00
88D272	31	19	9.50	0.00
99R800	33	4	9.50	0.00
96R800	33	6	9.70	0.00
71R871	21	25	9.90	0.00
03037B	41	2	10.00	0.00
03037D	33	4	10.00	0.00
03842	86	1	10.00	0.00
03842H	15	3	10.00	0.00
03842H	86	1	10.00	0.00
03F098	41	2	10.00	0.00
03F847	92	2	10.00	0.00
03R282	31	4	10.00	0.00
04019A	02	1	10.00	0.00
04839	86	1	10.00	0.00
21006	84	1	10.00	0.00
21839	86	1	10.00	0.00
21842	18	1	10.00	0.00
29001	53	6	10.00	0.00
29R833	84	1	10.00	0.00
41002B	83	1	10.00	0.00
41808	92	1	10.00	0.00
46832	31	1	10.00	0.00
48810	84	1	10.00	0.00
52832E	11	1	10.00	0.00
52R800	12	1	10.00	0.00
56002I	31	1	10.00	0.00
56002P	92	4	10.00	0.00
56008X	84	2	10.00	0.00
56843	84	1	10.00	0.00
56D800	13	2	10.00	0.00
56R801	01	1	10.00	0.00
56R811	52	65	10.00	0.00
56R824	13	1	10.00	0.00
63002	92	1	10.00	0.00
68808G	13	1	10.00	0.00
68R801	31	2	10.00	0.00
71003U	92	1	10.00	0.00
71R838	31	2	10.00	0.00
82R801	15	1	10.00	0.00
82Z800	43	1	10.00	0.00
83003	31	1	10.00	0.00
84R800	31	1	10.00	0.00
86R834	96	1	10.00	0.00
86R845	92	1	10.00	0.00
88D169	31	20	10.00	0.00
88D183	31	20	10.00	0.00
88D215	31	20	10.00	0.00
88D224	31	20	10.00	0.00
88D226	31	20	10.00	0.00
88D227	31	20	10.00	0.00
88D229	31	20	10.00	0.00
88D242	31	20	10.00	0.00
88D250	31	20	10.00	0.00
88D251	31	20	10.00	0.00
88D255	31	20	10.00	0.00
88D265	31	20	10.00	0.00
88D267	31	20	10.00	0.00
88D271	31	20	10.00	0.00
88D273	31	20	10.00	0.00
88D274	31	20	10.00	0.00
96R833	33	2	10.00	0.00
99R006	96	1	10.00	0.00
07001	52	32	10.40	0.00
03003A	53	8	10.50	0.00
04F800	14	4	10.50	0.00
18029A	15	2	10.50	0.00
21005	96	1	10.50	0.00
21R801	31	3	10.50	0.00
21R829	33	7	10.50	0.00
68V800	17	4	10.50	0.00
88D154	31	21	10.50	0.00
88D156	31	21	10.50	0.00
88D157	31	21	10.50	0.00
88D158	31	21	10.50	0.00
88D172	31	21	10.50	0.00
88D223	31	21	10.50	0.00
88D234	31	21	10.50	0.00
03847H	53	13	11.00	0.00
03F098	31	2	11.00	0.00
03R282	33	1	11.00	0.00
21839	13	1	11.00	0.00
41R801	13	2	11.00	0.00
68811	92	2	11.00	0.00
71R833	84	2	11.00	0.00
82R833	83	5	11.00	0.00
83Z800	92	1	11.00	0.00
84Z002	95	1	11.00	0.00
88D198	31	22	11.00	0.00
88D240	31	22	11.00	0.00
88D252	31	22	11.00	0.00
88D264	31	22	11.00	0.00
