PAC,PAF,OPCODE,ACCORG,ACC2011,PLAN2011,ACC2012,PLAN2012,ACC2013,PLAN2013,ACC2014,PLAN2014,ACC2015,PLAN2015
04004A,NAR,43,NRL,10,3104,,,,,,,,
04004A,PES,41,ARL,1558,1690,,,,,,,,
04004A,PES,41,NRL,647,715,,,,,,,,
04004A,PES,41,PRL-NW,443.6,1560,,,,,,,,
04004A,PES,41,PRL-SW,1635.6,2210,,,,,,,,
04004A,PES,41,SRL,1253.6,2145,,,,,,,,
04004A,PES,43,ARL,8001.8,8363,,,,,,,,
04004A,PES,43,NRL,4290.7,3104,,,,,,,,
04004A,PES,43,PRL-NW,2901.3,998,,,,,,,,
04004A,PES,43,PRL-SW,9125.5,10382,,,,,,,,
04004A,PES,43,SRL,3905.3,2894,,,,,,,,
04004A,,13,BLT-DO,50,18,,,,,,,,
04004A,,13,DAL-DO,15,29,,,,,,,,
04004A,,13,FLA-DO,11,74,,,,,,,,
04004A,,13,NWE-DO,1,10,,,,,,,,
04004A,,13,SAN-DO,42.5,135,,,,,,,,
04004A,,31,ATL-DO,50,135,,,,,,,,
04004A,,31,BLT-DO,699.5,120,,,,,,,,
04004A,,31,CHI-DO,207,120,,,,,,,,
04004A,,31,CIN-DO,175,90,,,,,,,,
04004A,,31,DAL-DO,257.5,180,,,,,,,,
04004A,,31,DEN-DO,57.5,90,,,,,,,,
04004A,,31,DET-DO,400,180,,,,,,,,
04004A,,31,FLA-DO,681.3,390,,,,,,,,
04004A,,31,KAN-DO,306.5,390,,,,,,,,
04004A,,31,LOS-DO,54,390,,,,,,,,
04004A,,31,MIN-DO,452.2,480,,,,,,,,
04004A,,31,NOL-DO,1,120,,,,,,,,
04004A,,31,NWE-DO,211.5,90,,,,,,,,
04004A,,31,NYK-DO,397.5,240,,,,,,,,
04004A,,31,PHI-DO,130,60,,,,,,,,
04004A,,31,SAN-DO,589.1,630,,,,,,,,
04004A,,31,SEA-DO,462.8,720,,,,,,,,
04004A,,31,SJN-DO,40,15,,,,,,,,
04004A,,33,ATL-DO,8.5,8,,,,,,,,
04004A,,33,BLT-DO,69.1,42,,,,,,,,
04004A,,33,CHI-DO,89.5,30,,,,,,,,
04004A,,33,DET-DO,476.3,410,,,,,,,,
