PlanFY,OpDateFY,Plan_PAC,Plan_Hours,Sum_of_Hours,Acc_Org
2011,2011,04004A,2145.00,1253.60,SRL
2011,2011,04004A,2210.00,1635.60,PRL-SW
2011,2011,04004A,2894.00,3905.30,SRL
2011,2011,04004A,3104.00,4300.70,NRL
2011,2011,04004A,3130.00,3428.00,SWI-DO
2011,2011,04004A,8363.00,8001.80,ARL
2011,2011,04004A,10382.00,9125.50,PRL-SW
2011,2011,04004D,120.00,161.00,CHI-DO
2011,2011,04004D,120.00,40.50,CIN-DO
2011,2011,04004D,120.00,12.00,DEN-DO
2011,2011,04004D,120.00,273.00,DET-DO
2011,2011,04004D,120.00,308.50,NWJ-DO
2011,2011,04004D,120.00,197.50,PHI-DO
2011,2011,04004D,120.00,218.00,SEA-DO
2011,2011,04004D,160.00,181.00,NWE-DO
2011,2011,04004D,200.00,42.50,SAN-DO
2011,2011,04004D,240.00,214.00,ATL-DO
2011,2011,04004D,240.00,443.30,BLT-DO
2011,2011,04004D,240.00,144.50,DAL-DO
2011,2011,04004D,240.00,361.00,FLA-DO
2011,2011,04004D,240.00,265.00,LOS-DO
2011,2011,04004D,240.00,307.00,NOL-DO
2011,2011,04004D,240.00,296.50,NYK-DO
2011,2011,04004D,15000.00,8573.10,ARL
2011,2011,04018,20.00,7.00,LOS-DO
2011,2011,04018,25.00,29.00,BLT-DO
2011,2011,04018,50.00,36.00,ATL-DO
2011,2011,04018,63.00,21.50,NOL-DO
2011,2011,04018,70.00,293.00,FLA-DO
2011,2011,04018,88.00,32.40,CHI-DO
2011,2011,04018,88.00,52.00,SAN-DO
2011,2011,04018,88.00,85.60,SEA-DO
2011,2011,04018,95.00,29.00,NWE-DO
2011,2011,04018,100.00,62.30,BLT-DO
2011,2011,04018,125.00,111.20,SWI-DO
2011,2011,04018,175.00,23.50,ATL-DO
2011,2011,04018,288.00,258.50,NWE-DO
2011,2011,04018,413.00,218.80,NYK-DO
2011,2011,04018,432.00,497.60,SRL
2011,2011,04018,513.00,425.00,FLA-DO
2011,2011,04018,525.00,809.60,LOS-DO
2011,2011,04018,768.00,338.90,ARL
2011,2011,04018,810.00,3176.10,PRL-SW
2011,2011,04018,1080.00,1248.00,PRL-NW
2011,2011,04018,1860.00,261.50,NRL
2011,2011,04018,4800.00,8.00,DEN-DO
2011,2011,04018,5160.00,2791.10,ARL
2011,2011,04018,6540.00,3258.10,SRL
2011,2011,04018,10410.00,2861.60,NRL
2011,2011,04019A,36.00,78.00,BLT-DO
2011,2011,04019A,45.00,88.00,CHI-DO
2011,2011,04019A,45.00,176.00,DET-DO
2011,2011,04019A,45.00,85.50,KAN-DO
2011,2011,04019A,45.00,71.30,PHI-DO
2011,2011,04019A,45.00,30.00,SEA-DO
2011,2011,04019A,90.00,190.70,BLT-DO
2011,2011,04019A,90.00,160.50,NWE-DO
2011,2011,04019A,90.00,78.20,NWJ-DO
2011,2011,04019A,90.00,102.00,SAN-DO
2011,2011,04019A,90.00,144.50,SEA-DO
2011,2011,04019A,108.00,122.00,FLA-DO
2011,2011,04019A,125.00,56.00,LOS-DO
2011,2011,04019A,126.00,99.20,SAN-DO
2011,2011,04019A,135.00,18.50,ATL-DO
2011,2011,04019A,135.00,227.00,DAL-DO
2011,2011,04019A,135.00,154.50,NOL-DO
2011,2011,04019A,135.00,269.70,NYK-DO
2011,2011,04019A,153.00,298.00,FLA-DO
2011,2011,04019A,215.00,591.50,NYK-DO
2011,2011,04019A,216.00,391.10,LOS-DO
2011,2011,04019A,360.00,831.50,SWI-DO
2011,2011,04019A,840.00,593.50,NRL
2011,2011,04019A,900.00,1923.10,NRL
2011,2011,04019A,1320.00,1331.20,SRL
2011,2011,04019A,1740.00,681.00,SRL
2011,2011,04019B,2.00,57.70,MIN-DO
2011,2011,04019B,2.00,25.00,SJN-DO
2011,2011,04019B,4.00,34.50,FLA-DO
2011,2011,04019B,4.00,8.00,NWE-DO
2011,2011,04019B,5.00,3.00,CIN-DO
2011,2011,04019B,6.00,26.50,FLA-DO
2011,2011,04019B,6.00,1.10,SAN-DO
2011,2011,04019B,7.00,5.50,NOL-DO
2011,2011,04019B,7.00,4.50,NWE-DO
2011,2011,04019B,7.00,21.00,PHI-DO
2011,2011,04019B,8.00,34.20,SJN-DO
2011,2011,04019B,10.00,117.10,MIN-DO
2011,2011,04019B,11.00,131.50,SAN-DO
2011,2011,04019B,13.00,5.20,CHI-DO
2011,2011,04019B,14.00,70.50,NOL-DO
2011,2011,04019B,14.00,52.00,NWE-DO
2011,2011,04019B,14.00,3.00,PHI-DO
2011,2011,04019B,14.00,22.50,SAN-DO
2011,2011,04019B,18.00,13.00,SEA-DO
2011,2011,04019B,22.00,3.00,BLT-DO
2011,2011,04019B,22.00,72.00,SWI-DO
2011,2011,04019B,29.00,10.80,NWE-DO
2011,2011,04019B,29.00,2.00,SAN-DO
